============================= test session starts ==============================
platform darwin -- Python 3.14.2, pytest-9.0.3, pluggy-1.6.0 -- /Users/wucong/EVERYDAYAIONE/.venv/bin/python
cachedir: .pytest_cache
rootdir: /Users/wucong/EVERYDAYAIONE/worktrees/tool-unification-03/backend
configfile: pytest.ini
plugins: cov-7.1.0, asyncio-1.3.0, anyio-4.13.0
asyncio: mode=Mode.AUTO, debug=False, asyncio_default_fixture_loop_scope=function, asyncio_default_test_loop_scope=function
collecting ... collected 720 items

backend/tests/test_tool_executor.py::TestExecuteDispatch::test_unknown_tool_raises PASSED [  0%]
backend/tests/test_tool_executor.py::TestExecuteDispatch::test_dispatches_to_handler PASSED [  0%]
backend/tests/test_tool_executor.py::TestExecuteDispatch::test_confirmed_policy_blocks_tool_outside_scope PASSED [  0%]
backend/tests/test_tool_executor.py::TestExecuteDispatch::test_preflight_blocks_business_write_even_if_in_scope PASSED [  0%]
backend/tests/test_tool_executor.py::TestGetConversationContext::test_empty_messages PASSED [  0%]
backend/tests/test_tool_executor.py::TestGetConversationContext::test_text_messages_formatted PASSED [  0%]
backend/tests/test_tool_executor.py::TestGetConversationContext::test_messages_with_images PASSED [  0%]
backend/tests/test_tool_executor.py::TestGetConversationContext::test_limit_capped_at_20 PASSED [  1%]
backend/tests/test_tool_executor.py::TestGetConversationContext::test_default_limit_is_10 PASSED [  1%]
backend/tests/test_tool_executor.py::TestGetConversationContext::test_image_without_url_skipped PASSED [  1%]
backend/tests/test_tool_executor.py::TestSearchKnowledge::test_empty_query PASSED [  1%]
backend/tests/test_tool_executor.py::TestSearchKnowledge::test_missing_query PASSED [  1%]
backend/tests/test_tool_executor.py::TestSearchKnowledge::test_search_with_results PASSED [  1%]
backend/tests/test_tool_executor.py::TestSearchKnowledge::test_search_no_results PASSED [  1%]
backend/tests/test_tool_executor.py::TestERPTools::test_step1_returns_param_doc PASSED [  2%]
backend/tests/test_tool_executor.py::TestERPTools::test_erp_not_configured PASSED [  2%]
backend/tests/test_tool_executor.py::TestERPTools::test_trade_query_success PASSED [  2%]
backend/tests/test_tool_executor.py::TestERPTools::test_trade_query_exception PASSED [  2%]
backend/tests/test_tool_executor.py::TestERPTools::test_product_query_success PASSED [  2%]
backend/tests/test_tool_executor.py::TestERPTools::test_product_query_exception PASSED [  2%]
backend/tests/test_tool_executor.py::TestERPTools::test_product_stock_query PASSED [  2%]
backend/tests/test_tool_executor.py::TestERPTools::test_missing_action PASSED [  3%]
backend/tests/test_tool_executor.py::TestERPTools::test_erp_execute_write PASSED [  3%]
backend/tests/test_tool_executor.py::TestERPTools::test_erp_execute_idempotency_blocks_duplicate PASSED [  3%]
backend/tests/test_tool_executor.py::TestERPTools::test_erp_execute_idempotency_blocks_concurrent PASSED [  3%]
backend/tests/test_tool_executor.py::TestERPTools::test_erp_execute_redis_unavailable_rejects_write PASSED [  3%]
backend/tests/test_tool_executor.py::TestERPTools::test_erp_execute_success_marks_result_key PASSED [  3%]
backend/tests/test_tool_executor.py::TestERPTools::test_erp_execute_failure_releases_lock_no_mark PASSED [  3%]
backend/tests/test_tool_executor.py::TestERPTools::test_handler_registered_for_all_erp_tools PASSED [  4%]
backend/tests/test_tool_executor.py::TestERPTools::test_execute_delegates_to_erp_dispatch PASSED [  4%]
backend/tests/test_tool_executor.py::TestSocialCrawler::test_crawler_disabled PASSED [  4%]
backend/tests/test_tool_executor.py::TestSocialCrawler::test_crawler_not_installed PASSED [  4%]
backend/tests/test_tool_executor.py::TestSocialCrawler::test_empty_keywords PASSED [  4%]
backend/tests/test_tool_executor.py::TestSocialCrawler::test_crawl_error PASSED [  4%]
