============================= test session starts ==============================
platform darwin -- Python 3.14.2, pytest-9.0.3, pluggy-1.6.0 -- /Users/wucong/EVERYDAYAIONE/.venv/bin/python
cachedir: .pytest_cache
rootdir: /Users/wucong/EVERYDAYAIONE/worktrees/tool-unification-04/backend
configfile: pytest.ini
plugins: cov-7.1.0, asyncio-1.3.0, anyio-4.13.0
asyncio: mode=Mode.AUTO, debug=False, asyncio_default_fixture_loop_scope=function, asyncio_default_test_loop_scope=function
collecting ... collected 858 items

backend/tests/test_tool_execution.py::test_representatives_complete_chain_real_internal_handlers[search_knowledge-ask-None-False-allow-1] PASSED [  0%]
backend/tests/test_tool_execution.py::test_representatives_complete_chain_real_internal_handlers[search_knowledge-ask-None-True-deny-0] PASSED [  0%]
backend/tests/test_tool_execution.py::test_representatives_complete_chain_real_internal_handlers[file_search-ask-None-False-allow-1] PASSED [  0%]
backend/tests/test_tool_execution.py::test_representatives_complete_chain_real_internal_handlers[file_search-ask-None-True-deny-0] PASSED [  0%]
backend/tests/test_tool_execution.py::test_representatives_complete_chain_real_internal_handlers[file_delete-ask-None-False-require_confirmation-0] PASSED [  0%]
backend/tests/test_tool_execution.py::test_representatives_complete_chain_real_internal_handlers[file_delete-ask-approved-False-allow-1] PASSED [  0%]
backend/tests/test_tool_execution.py::test_representatives_complete_chain_real_internal_handlers[file_delete-ask-rejected-False-deny-0] PASSED [  0%]
backend/tests/test_tool_execution.py::test_representatives_complete_chain_real_internal_handlers[file_delete-auto-None-False-require_confirmation-0] PASSED [  0%]
backend/tests/test_tool_execution.py::test_representatives_complete_chain_real_internal_handlers[file_delete-auto-approved-False-allow-1] PASSED [  1%]
backend/tests/test_tool_execution.py::test_representatives_complete_chain_real_internal_handlers[file_delete-plan-None-False-deny-0] PASSED [  1%]
backend/tests/test_tool_execution.py::test_representatives_complete_chain_real_internal_handlers[file_delete-ask-None-True-deny-0] PASSED [  1%]
backend/tests/test_tool_execution.py::test_new_and_legacy_specs_use_same_policy_and_handler_key[safe-explicit] PASSED [  1%]
backend/tests/test_tool_execution.py::test_new_and_legacy_specs_use_same_policy_and_handler_key[safe-legacy] PASSED [  1%]
backend/tests/test_tool_execution.py::test_new_and_legacy_specs_use_same_policy_and_handler_key[dangerous-explicit] PASSED [  1%]
backend/tests/test_tool_execution.py::test_new_and_legacy_specs_use_same_policy_and_handler_key[dangerous-legacy] PASSED [  1%]
backend/tests/test_tool_execution.py::test_unknown_tool_or_missing_handler_preserves_value_error[missing_tool-False] PASSED [  1%]
backend/tests/test_tool_execution.py::test_unknown_tool_or_missing_handler_preserves_value_error[search_knowledge-True] PASSED [  1%]
backend/tests/test_tool_execution.py::test_dispatcher_only_consumes_own_allow_permit_once PASSED [  2%]
backend/tests/test_tool_execution.py::test_pending_approval_concurrent_resubmission_runs_once_and_freezes_arguments PASSED [  2%]
backend/tests/test_tool_execution.py::test_approval_rechecks_current_call_context_before_any_dispatch[args] PASSED [  2%]
backend/tests/test_tool_execution.py::test_approval_rechecks_current_call_context_before_any_dispatch[call] PASSED [  2%]
backend/tests/test_tool_execution.py::test_approval_rechecks_current_call_context_before_any_dispatch[scope] PASSED [  2%]
backend/tests/test_tool_execution.py::test_approval_rechecks_current_call_context_before_any_dispatch[mode] PASSED [  2%]
backend/tests/test_tool_execution.py::test_approval_rechecks_current_call_context_before_any_dispatch[permission] PASSED [  2%]
backend/tests/test_tool_execution.py::test_approval_rechecks_current_call_context_before_any_dispatch[confirmation_unavailable] PASSED [  2%]
backend/tests/test_tool_execution.py::test_raised_errors_preserve_identity_and_never_retry[error0] PASSED [  3%]
backend/tests/test_tool_execution.py::test_raised_errors_preserve_identity_and_never_retry[error1] PASSED [  3%]
backend/tests/test_tool_execution.py::test_raised_errors_preserve_identity_and_never_retry[error2] PASSED [  3%]
backend/tests/test_tool_execution.py::test_raised_errors_preserve_identity_and_never_retry[error3] PASSED [  3%]
backend/tests/test_tool_execution.py::test_real_internal_handler_returned_error_vs_propagated_exception PASSED [  3%]
backend/tests/test_tool_execution.py::test_cancellation_propagates_without_retry[before] PASSED [  3%]
backend/tests/test_tool_execution.py::test_cancellation_propagates_without_retry[handler] PASSED [  3%]
backend/tests/test_tool_execution.py::test_cancellation_propagates_without_retry[task] PASSED [  3%]
backend/tests/test_tool_execution.py::test_policy_exception_and_cancellation_during_decision_fail_closed PASSED [  3%]
backend/tests/test_tool_execution.py::test_entrypoint_and_legacy_exit_return_all_supported_types[raw0] PASSED [  4%]
backend/tests/test_tool_execution.py::test_entrypoint_and_legacy_exit_return_all_supported_types[raw1] PASSED [  4%]
backend/tests/test_tool_execution.py::test_entrypoint_and_legacy_exit_return_all_supported_types[raw2] PASSED [  4%]
backend/tests/test_tool_execution.py::test_entrypoint_and_legacy_exit_return_all_supported_types[fixture] PASSED [  4%]
backend/tests/test_tool_execution.py::test_unknown_executor_type_mapping_cannot_fall_back_to_same_key PASSED [  4%]
backend/tests/test_tool_execution.py::test_noninteractive_dangerous_names_are_not_execution_grants[scheduled] PASSED [  4%]
backend/tests/test_tool_execution.py::test_noninteractive_dangerous_names_are_not_execution_grants[preflight] PASSED [  4%]
backend/tests/test_tool_result.py::test_agent_all_fields_and_distinct_model_projections_preserved[success-OutputFormat.TEXT] PASSED [  4%]
backend/tests/test_tool_result.py::test_agent_all_fields_and_distinct_model_projections_preserved[success-OutputFormat.TABLE] PASSED [  5%]
backend/tests/test_tool_result.py::test_agent_all_fields_and_distinct_model_projections_preserved[success-OutputFormat.FILE_REF] PASSED [  5%]
